rank,segment_id,country,road_class,SpeedLimit,F85thPercentileSpeed,expected_speed,speed_residual
10784,TR/13379,India,trunk,50.0,54.5,62.844060548496685,-8.344060548496685
10785,50311,Thailand,secondary,90.0,68.0,76.34445290477653,-8.344452904776531
10786,17675,Thailand,primary,30.0,60.0,68.34629717436499,-8.346297174364992
10787,51417,Thailand,secondary,90.0,71.5,79.84856668385018,-8.34856668385018
10788,49015,Thailand,secondary,90.0,63.5,71.85497371052227,-8.354973710522273
10789,31051,Thailand,primary,80.0,85.0,93.36698763627527,-8.366987636275269
10790,SE/7513,India,secondary,45.0,35.0,43.36713188044211,-8.367131880442109
10791,40350,Thailand,secondary,90.0,74.5,82.86808848315896,-8.368088483158957
10792,28584,Thailand,primary,80.0,65.0,73.37027919385677,-8.370279193856774
10793,48937,Thailand,secondary,80.0,58.0,66.37302901992851,-8.37302901992851
10794,46203,Thailand,secondary,90.0,70.25,78.62407838161465,-8.374078381614652
10795,46674,Thailand,secondary,80.0,50.0,58.37516418796574,-8.375164187965737
10796,36935,Thailand,secondary,80.0,64.0,72.37562916688012,-8.375629166880117
10797,21022,Thailand,primary,80.0,73.0,81.38029118523129,-8.380291185231286
10798,SE/9217,India,secondary,45.0,35.57142857142857,43.953474426931805,-8.382045855503236
10799,TR/10908,India,trunk,40.0,47.333333333333336,55.72055073605683,-8.387217402723493
10800,33989,Thailand,trunk,80.0,81.0,89.38984084983082,-8.389840849830819
10801,7605,Thailand,trunk,90.0,85.0,93.39331782781696,-8.393317827816958
10802,24679,Thailand,primary,80.0,63.0,71.39376765938054,-8.393767659380543
10803,24997,Thailand,primary,80.0,67.0,75.40008136499048,-8.400081364990484
10804,34201,Thailand,primary,80.0,73.0,81.40096031143898,-8.400960311438979
10805,35343,Thailand,trunk,90.0,80.5,88.909698721045,-8.409698721045004
10806,53177,Thailand,secondary,60.0,79.0,87.41221877247575,-8.412218772475754
10807,51016,Thailand,secondary,80.0,52.0,60.41495531130227,-8.414955311302272
10808,TR/12113,India,trunk,80.0,68.91666666666667,77.33176220266628,-8.415095535999612
10809,36056,Thailand,trunk,90.0,90.5,98.92322301839398,-8.423223018393983
10810,PR/1083,India,primary,55.0,50.125,58.54865678749202,-8.423656787492021
10811,6637,Thailand,trunk,90.0,88.0,96.4265901674584,-8.4265901674584
10812,39111,Thailand,secondary,90.0,69.25,77.68179200766502,-8.431792007665024
10813,23525,Thailand,primary,80.0,75.5,83.9422179521861,-8.442217952186098
10814,PR/1400,India,primary,45.0,48.0,56.44315605774331,-8.443156057743309
10815,PR/4086,India,primary,55.0,54.5,62.94523852230135,-8.445238522301352
10816,41567,Thailand,secondary,80.0,53.0,61.45144136399068,-8.451441363990682
10817,15664,Thailand,primary,90.0,67.0,75.45590862552407,-8.455908625524074
10818,PR/1537,India,primary,55.0,44.5,52.96063387255181,-8.46063387255181
10819,33753,Thailand,primary,80.0,69.0,77.46658246926637,-8.46658246926637
10820,39466,Thailand,secondary,70.0,62.66666667,71.14074075033209,-8.474074080332088
10821,53178,Thailand,secondary,60.0,79.0,87.47883543914241,-8.478835439142415
10822,31179,Thailand,primary,80.0,69.0,77.47909263438127,-8.479092634381274
10823,36281,Thailand,trunk,90.0,79.0,87.48791748498111,-8.48791748498111
10824,33940,Thailand,trunk,80.0,86.0,94.48813801534163,-8.488138015341633
10825,36033,Thailand,trunk,80.0,89.0,97.49185153443912,-8.491851534439121
10826,38006,Thailand,secondary,40.0,53.0,61.493907396870576,-8.493907396870576
10827,SE/5653,India,secondary,55.0,49.5,57.99587978726186,-8.495879787261863
